VoteChoice,Keywords
Excellent shopping experience,"[('shopping', 0.6061), ('experience', 0.525), ('excellent', 0.3605)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Warm staff welcoming store. Thank you for a  wonderful experience. Tushar has been very polite and helpful. ,"[('welcoming', 0.4983), ('tushar', 0.4982), ('polite', 0.368)]"
Nice ,"[('nice', 1.0)]"
Nothing all is cool ?? ,"[('cool', 0.3219)]"
Good,"[('good', 1.0)]"
Quality is best ,"[('quality', 0.85), ('best', 0.4517)]"
Good service excellent work Satya good ,"[('satya', 0.5589), ('service', 0.4692), ('work', 0.3329)]"
All good,"[('good', 0.4393)]"
All good,"[('good', 0.4393)]"
Good,"[('good', 1.0)]"
More varieties ,"[('varieties', 0.8561)]"
Great ,"[('great', 1.0)]"
Yusuf was very good and attentive Everything was perfect?? ,"[('yusuf', 0.6781), ('attentive', 0.3116), ('good', 0.1961)]"
It was good ,"[('good', 0.5784)]"
Nothing much ,[]
Very good experience ,"[('experience', 0.6577), ('good', 0.3294)]"
Need to improve redloop collection ,"[('redloop', 0.5927), ('collection', 0.5327), ('improve', 0.1745)]"
Nic,"[('nic', 1.0)]"
Good exp,"[('exp', 0.8175), ('good', 0.4945)]"
.,[]
Ok,"[('ok', 1.0)]"
Staff was very cooperative ,"[('cooperative', 0.6368), ('staff', 0.5936)]"
Nice ajaz??????,"[('ajaz', 0.7318), ('nice', 0.257)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Good work mr pinkal....thank u so much bro,"[('pinkal', 0.5698), ('thank', 0.359), ('mr', 0.2814)]"
Very good service I'm happy with shopping.,"[('shopping', 0.4507), ('service', 0.4293), ('happy', 0.3692)]"
Very good  ,"[('good', 0.7071)]"
Very nice service ??,"[('service', 0.603), ('nice', 0.1959)]"
Great experience ,"[('experience', 0.6299), ('great', 0.4188)]"
Increase in collection at standalone store in Santacruz west,"[('collection', 0.465), ('store', 0.4143), ('santacruz', 0.3334)]"
Authentic wear quality staff I love it ,"[('staff', 0.4765), ('authentic', 0.4604), ('quality', 0.453)]"
Good,"[('good', 1.0)]"
Very good service ,"[('service', 0.5967), ('good', 0.3583)]"
Good ,"[('good', 1.0)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
All good,"[('good', 0.4393)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Great,"[('great', 1.0)]"
"Afreen is a asset to the organisation , very polite and well behaved ","[('afreen', 0.647), ('organisation', 0.4395), ('polite', 0.381)]"
Best,"[('best', 1.0)]"
Every thing is perfect ,"[('perfect', 0.4055), ('thing', 0.2756)]"
heuirr,"[('heuirr', 1.0)]"
Good nisha,"[('nisha', 0.8597), ('good', 0.4009)]"
Awesome ,"[('awesome', 1.0)]"
???? ??? ,[]
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
All things went well and the Ashfaq assisted us very  well.. Thanks ,"[('ashfaq', 0.5314), ('went', 0.3051), ('thanks', 0.2361)]"
good,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Mr Deepak experience and service is good ,"[('deepak', 0.6082), ('experience', 0.4394), ('service', 0.363)]"
Nice,"[('nice', 1.0)]"
Great,"[('great', 1.0)]"
Good,"[('good', 1.0)]"
"""Anita is an exceptional stylist! Her expertise and knowledge of products are truly impressive. She took the time to understand our needs and provided personalized recommendations. Her advice was spot-on, and we're thrilled with the results.","[('anita', 0.5854), ('stylist', 0.523), ('personalized', 0.332)]"
Esther was very good ,"[('esther', 0.7487), ('good', 0.2045)]"
Fantastic ,"[('fantastic', 1.0)]"
Fantastic ,"[('fantastic', 1.0)]"
Great experience. ,"[('experience', 0.4996), ('great', 0.3604)]"
Good,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Great,"[('great', 1.0)]"
Dipak is good staff I like him,"[('dipak', 0.6931), ('staff', 0.4168), ('good', 0.1371)]"
Extra size t shirt and t shirt length should be a little bigger in extra size tshirt  ,"[('tshirt', 0.5149), ('shirt', 0.403), ('size', 0.3442)]"
Offer more sizes options for length of the jeans,"[('jeans', 0.6391), ('sizes', 0.4824), ('length', 0.3741)]"
Good service yaron,"[('yaron', 0.7696), ('service', 0.4883), ('good', 0.2332)]"
Very good experience ,"[('experience', 0.6577), ('good', 0.3294)]"
Good service kalpna ,"[('kalpna', 0.743), ('service', 0.5081), ('good', 0.2468)]"
All good ,"[('good', 0.4393)]"
Excellent service ,"[('service', 0.6481), ('excellent', 0.5238)]"
Very good  ,"[('good', 0.7071)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Very good ,"[('good', 0.7071)]"
Good,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Good services satya,"[('satya', 0.7527), ('services', 0.5077), ('good', 0.1617)]"
Keep it up,[]
Add some new products,"[('products', 0.5755), ('add', 0.3874), ('new', 0.3719)]"
Great products ,"[('products', 0.6207), ('great', 0.4274)]"
Arjun,"[('arjun', 1.0)]"
Very satisfied ,"[('satisfied', 0.8601)]"
"Anil Is quite smart sales person, who knows personal choices and texture ","[('anil', 0.6846), ('sales', 0.366), ('smart', 0.331)]"
Overall the staff were very cooperative  ,"[('cooperative', 0.5875), ('staff', 0.5332), ('overall', 0.252)]"
Good shopping experience with Faisal & Shadab Having fun while shopping ,"[('shopping', 0.57), ('faisal', 0.4807), ('shadab', 0.4312)]"
Include More range of products ,"[('products', 0.5166), ('range', 0.4088), ('include', 0.4037)]"
amazing collection excellent service provided by quassim end store sm jyoti she help to get the right product.  I would love to come back  levis margao2 team.,"[('margao2', 0.4855), ('levis', 0.4008), ('collection', 0.3644)]"
Good service team ,"[('service', 0.6376), ('team', 0.5994), ('good', 0.3208)]"
Good,"[('good', 1.0)]"
Very good,"[('good', 0.7071)]"
Excellent service by moheeb,"[('moheeb', 0.6361), ('service', 0.4636), ('excellent', 0.274)]"
Very good Service ,"[('service', 0.5967), ('good', 0.3583)]"
Nice and beautiful place... Must visit before shopping ,"[('visit', 0.486), ('shopping', 0.4433), ('place', 0.3658)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Everything is better ,"[('better', 0.555)]"
A range of simple design polos and TShirt,"[('polos', 0.7058), ('tshirt', 0.5726), ('design', 0.3839)]"
Good,"[('good', 1.0)]"
Nice store to shoping ,"[('shoping', 0.6266), ('store', 0.6256), ('nice', 0.181)]"
All good,"[('good', 0.4393)]"
Good,"[('good', 1.0)]"
The store has the best styles ever with a very congenial staff,"[('styles', 0.5423), ('staff', 0.4136), ('store', 0.3142)]"
Good ,"[('good', 1.0)]"
Super,"[('super', 1.0)]"
Just having issue in jeans on my zip .but quality of clothes is good but one you have to improve in zip of jeans ,"[('jeans', 0.6299), ('clothes', 0.434), ('zip', 0.3823)]"
Very cooperative ,"[('cooperative', 0.8359)]"
Keep it up good work ,"[('work', 0.4292), ('good', 0.2546)]"
All is well,[]
Dharam provided great service,"[('dharam', 0.7339), ('service', 0.4338), ('provided', 0.2247)]"
All good,"[('good', 0.4393)]"
Kunal has given good service.  ,"[('kunal', 0.6971), ('service', 0.3657), ('given', 0.1656)]"
I got good experience ,"[('experience', 0.6974), ('got', 0.3618), ('good', 0.3277)]"
Good ,"[('good', 1.0)]"
She assisted well. ,"[('assisted', 0.6036)]"
Good sarvish deepika eva  ,"[('deepika', 0.727), ('sarvish', 0.5376), ('eva', 0.4308)]"
Sangeeta Assisted well. ,"[('sangeeta', 0.728), ('assisted', 0.4197)]"
Good collection and cooperative staff,"[('staff', 0.6512), ('collection', 0.5999), ('cooperative', 0.5594)]"
Very supportive staff and collection  ,"[('staff', 0.6208), ('supportive', 0.5373), ('collection', 0.4619)]"
good,"[('good', 1.0)]"
good,"[('good', 1.0)]"
??? mukund,"[('mukund', 0.9058)]"
good,"[('good', 1.0)]"
good,"[('good', 1.0)]"
Good Service satya,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Good Service ali ,"[('ali', 0.7265), ('service', 0.5285), ('good', 0.2534)]"
Nice ,"[('nice', 1.0)]"
Thanks you Ali helping for service ,"[('ali', 0.5256), ('service', 0.481), ('helping', 0.4354)]"
Thank you Satya helping for me Satya ,"[('satya', 0.6164), ('helping', 0.3968), ('thank', 0.2607)]"
Thanks you Satya helping for me good Service ,"[('satya', 0.4566), ('helping', 0.4009), ('service', 0.3746)]"
Good Service Satya excellent Service ,"[('satya', 0.6632), ('service', 0.5103), ('excellent', 0.2387)]"
Asha was super helpful and made sure we get what we wanted. ,"[('asha', 0.6184), ('helpful', 0.2524), ('super', 0.1774)]"
overall Good Experience,"[('experience', 0.6659), ('overall', 0.5516), ('good', 0.2996)]"
Amazing quality  Good and friendly staff ,"[('staff', 0.6206), ('quality', 0.4782), ('friendly', 0.4205)]"
Alreday good,"[('alreday', 0.8778), ('good', 0.3375)]"
Easier fits ,"[('fits', 0.7002), ('easier', 0.6818)]"
Good ,"[('good', 1.0)]"
Good rewati,"[('rewati', 0.8216), ('good', 0.417)]"
good,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
It is perfect,"[('perfect', 0.6015)]"
Good,"[('good', 1.0)]"
Better information on billing or points redemption,"[('billing', 0.5414), ('redemption', 0.437), ('points', 0.402)]"
All are good,"[('good', 0.4677)]"
Good service from ashfaque ,"[('ashfaque', 0.7568), ('service', 0.508), ('good', 0.194)]"
Nothing  my experience was good. Ashfaq helped me  in the best possible pay  ,"[('ashfaq', 0.4755), ('experience', 0.3932), ('pay', 0.3391)]"
Good,"[('good', 1.0)]"
-,[]
Good service by deepak ,"[('deepak', 0.6199), ('service', 0.4814), ('good', 0.186)]"
Good ,"[('good', 1.0)]"
Excellent stock and good varieties ,"[('stock', 0.5788), ('varieties', 0.5031), ('excellent', 0.2831)]"
Good ,"[('good', 1.0)]"
The attendee was Anil Goria and he was amazing with his service. Good to have him with my shopping.,"[('goria', 0.5245), ('attendee', 0.5127), ('anil', 0.2518)]"
Everything looks good.,"[('looks', 0.4168), ('good', 0.3165)]"
Good ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Increase variety of items,"[('items', 0.5785), ('variety', 0.5333), ('increase', 0.4442)]"
Excellent ,"[('excellent', 1.0)]"
Na,"[('na', 1.0)]"
Good.,"[('good', 0.8636)]"
Good ,"[('good', 1.0)]"
The store experience and the staff are very good.,"[('staff', 0.4047), ('experience', 0.3868), ('store', 0.3465)]"
Good ?? ,"[('good', 0.6013)]"
Good product and good stop  ,"[('product', 0.543), ('stop', 0.5061), ('good', 0.3534)]"
"Just want to say, Mayur at Oberoi mall was a great help. Sahi Banda hai, jo manga wo sahi se leke aye, options suggest kiye. Na arrogant, na over helpful. Bohot approachable the, requirement grasp kiya properly.","[('kiya', 0.501), ('manga', 0.4697), ('kiye', 0.4476)]"
Thank you Shefali,"[('shefali', 0.6981), ('thank', 0.4327)]"
Great Ziyan Bhai Keep It Up,"[('ziyan', 0.676), ('bhai', 0.5387), ('great', 0.2621)]"
All ok ,"[('ok', 0.6241)]"
Great service and great product ,"[('service', 0.4963), ('product', 0.3571), ('great', 0.3518)]"
Good ones ,"[('ones', 0.5773), ('good', 0.5386)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good ,"[('good', 1.0)]"
"Loyalty points couldn’t be redeemed, even membership details not fetched, size not available and not going to be delivered, has to be collected from store.  Totally disappointing ","[('loyalty', 0.4995), ('redeemed', 0.377), ('membership', 0.3614)]"
Get variety in diff colors ,"[('variety', 0.5048), ('colors', 0.4656), ('diff', 0.3057)]"
"At Present , found nice and satisfactory service","[('service', 0.4991), ('satisfactory', 0.4081), ('present', 0.1804)]"
"The store team was very helpful, Babloo had shown very good products and helpful","[('products', 0.4302), ('babloo', 0.4039), ('store', 0.3768)]"
Financially not supportive ,"[('supportive', 0.6146), ('financially', 0.5945)]"
Good service Good staff,"[('staff', 0.6779), ('service', 0.6026), ('good', 0.2548)]"
Good ??,"[('good', 0.6013)]"
Fine,"[('fine', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Put hoodies style ,"[('hoodies', 0.7953), ('style', 0.4883)]"
All good,"[('good', 0.4393)]"
"Nice behaviour or staff, specifically monika","[('monika', 0.6612), ('staff', 0.4987), ('behaviour', 0.3887)]"
Nothing ,[]
Good job ,"[('good', 0.5048), ('job', 0.5042)]"
Inorbit Levi's  ,"[('levi', 0.6854), ('inorbit', 0.6097)]"
No comments,"[('comments', 0.6476)]"
Superb ,"[('superb', 1.0)]"
"Trusted person in this store @ inorbit, thank you Mr. Krunal Chauhan for your apt guidance while shopping here. Thank you Ms. Hinal Rathod for your humble behavior. Love to visit again.","[('krunal', 0.4237), ('shopping', 0.3962), ('trusted', 0.3862)]"
Abhay's excellent help made the shopping experience great.,"[('abhay', 0.4867), ('shopping', 0.4516), ('experience', 0.3234)]"
Mr Tanveer had shown all the option best fit on me and great shopping experience.,"[('tanveer', 0.4915), ('fit', 0.3638), ('shopping', 0.3456)]"
All good,"[('good', 0.4393)]"
All ??,[]
Good service for Vishal Surti ,"[('vishal', 0.6166), ('surti', 0.5563), ('service', 0.4239)]"
Aman was the sweetest the brand has so much to offer I wish the prices could have been lower ,"[('aman', 0.5599), ('brand', 0.4319), ('prices', 0.3403)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
To make all the products available on online store as well.,"[('products', 0.472), ('store', 0.4306), ('online', 0.2795)]"
Give discounts,"[('discounts', 0.9071)]"
Nice,"[('nice', 1.0)]"
The sales guys Vinod and Arbaaz were gentle and very helpful. Thank you for a wonderful shopping experience... Pricing could be better.,"[('pricing', 0.4587), ('sales', 0.3999), ('shopping', 0.3828)]"
Keep going!,"[('going', 0.5604)]"
Fututt6t8ff,"[('fututt6t8ff', 1.0)]"
Fgigcoh ,"[('fgigcoh', 1.0)]"
Need more collection ,"[('collection', 0.8215), ('need', 0.4124)]"
Nice collection but size not available particular style ,"[('collection', 0.4322), ('style', 0.3492), ('size', 0.3487)]"
Nice and good service given rahul,"[('rahul', 0.7228), ('service', 0.4544), ('given', 0.2688)]"
Was guided well and provided all options ,"[('guided', 0.6101), ('options', 0.3719), ('provided', 0.261)]"
Cost effectiveness and more designs,"[('designs', 0.5904), ('effectiveness', 0.5099), ('cost', 0.4744)]"
Good!,"[('good', 0.8264)]"
Good ,"[('good', 1.0)]"
Improve variety,"[('variety', 0.7947), ('improve', 0.4875)]"
Good,"[('good', 1.0)]"
The staff was very good very attentive ( preeti),"[('staff', 0.5547), ('attentive', 0.4808), ('preeti', 0.4186)]"
Gjig,"[('gjig', 1.0)]"
Nice,"[('nice', 1.0)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Nice,"[('nice', 1.0)]"
Xtukk,"[('xtukk', 1.0)]"
Nice,"[('nice', 1.0)]"
Nice,"[('nice', 1.0)]"
It's all good  ,"[('good', 0.3951)]"
Gud staff,"[('gud', 0.7192), ('staff', 0.6844)]"
Women collection Gandhinagar ,"[('gandhinagar', 0.6338), ('women', 0.4395), ('collection', 0.3542)]"
SUPENDOUS SERVICE ,"[('supendous', 0.8001), ('service', 0.5579)]"
Sumera Khatib  best sales girl ever 12/10 ,"[('sumera', 0.4672), ('khatib', 0.4436), ('sales', 0.4301)]"
Good ,"[('good', 1.0)]"
Good store staff,"[('staff', 0.6531), ('store', 0.569), ('good', 0.1787)]"
"Everything is good at store, staff and store hygiene","[('hygiene', 0.5937), ('store', 0.4086), ('staff', 0.3364)]"
Very good product ,"[('product', 0.6102), ('good', 0.4163)]"
Nice collection  ,"[('collection', 0.6719), ('nice', 0.4632)]"
Something better than nothing ,"[('better', 0.4047)]"
Nice collection  ,"[('collection', 0.6719), ('nice', 0.4632)]"
Good ,"[('good', 1.0)]"
Superb service from Darshita Patel,"[('patel', 0.6413), ('darshita', 0.5587), ('service', 0.4417)]"
Lovely Jeans,"[('jeans', 0.8016), ('lovely', 0.4241)]"
"""I recently visited the Levis store at Panjim and had an exceptional experience! The staff were Friendly and welcoming.","[('levis', 0.4742), ('panjim', 0.4692), ('welcoming', 0.3854)]"
Inbit mall boroda,"[('mall', 0.6801), ('inbit', 0.5913), ('boroda', 0.5862)]"
The security tag on my pant wasn't removed not I have to go back another day to the store to get it removed...this wasn't   expected and how did the store scanner not catch it?does it even work?,"[('scanner', 0.3936), ('security', 0.363), ('tag', 0.2764)]"
Very good ,"[('good', 0.7071)]"
Good,"[('good', 1.0)]"
Thank you. Had a nice time shopping ??? :) ,"[('shopping', 0.3695), ('time', 0.2712), ('thank', 0.2414)]"
Good,"[('good', 1.0)]"
Free gift ,"[('gift', 0.7857), ('free', 0.6056)]"
Good,"[('good', 1.0)]"
Asha was very helpful,"[('asha', 0.7077), ('helpful', 0.3905)]"
Good collections fittings and people,"[('collections', 0.6204), ('fittings', 0.3832), ('people', 0.2473)]"
Nothing ,[]
Good,"[('good', 1.0)]"
Make available new variant of outfits especially cotton  trousers ,"[('outfits', 0.6451), ('trousers', 0.5137), ('cotton', 0.5119)]"
"Good Variety , great service.","[('service', 0.5096), ('variety', 0.4746), ('great', 0.3344)]"
Good fitting &cloth quality is so good,"[('cloth', 0.4718), ('quality', 0.4675), ('fitting', 0.4246)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
"Anil, great service","[('anil', 0.775), ('service', 0.5626), ('great', 0.2304)]"
Good,"[('good', 1.0)]"
Staff is good and friendly ,"[('staff', 0.7175), ('friendly', 0.4621), ('good', 0.1569)]"
All good,"[('good', 0.4393)]"
"Superb experience, nice collection will refer my friends and family","[('collection', 0.438), ('experience', 0.3817), ('superb', 0.3312)]"
good services Deepak  ,"[('deepak', 0.6951), ('services', 0.5614), ('good', 0.1998)]"
. ,[]
You are wonderful ,"[('wonderful', 0.5095)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Very good,"[('good', 0.7071)]"
Good ??,"[('good', 0.6013)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Good Experiences @ Hardik ,"[('hardik', 0.5772), ('experiences', 0.55), ('good', 0.2696)]"
Good,"[('good', 1.0)]"
10,"[('10', 1.0)]"
Nice choice,"[('choice', 0.5831), ('nice', 0.524)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good communication with the sales person. They showed a genuine interest in showing us the apparels and catered it to our choice. Very helpful. Great collection from Levi's as always. ,"[('apparels', 0.5364), ('levi', 0.3845), ('sales', 0.3575)]"
All good,"[('good', 0.4393)]"
Very good service and product by mr shubham panwar ,"[('shubham', 0.4795), ('service', 0.4703), ('panwar', 0.381)]"
Good,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Very good    ,"[('good', 0.7071)]"
Great ,"[('great', 1.0)]"
More products ,"[('products', 0.7904)]"
Good job,"[('good', 0.5048), ('job', 0.5042)]"
thankyou my dear darling Prachi for making me comfortable to shop and choose the better option ?? thanks to Levi's for better options,"[('prachi', 0.5676), ('shop', 0.3592), ('comfortable', 0.3328)]"
"Good collection, good staff ??","[('staff', 0.6106), ('collection', 0.5468), ('good', 0.1221)]"
Very nice collection and hardik attended very well ,"[('hardik', 0.5469), ('attended', 0.4203), ('collection', 0.3999)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Nice,"[('nice', 1.0)]"
Good ,"[('good', 1.0)]"
Vry nice n helpful margao2,"[('margao2', 0.7528), ('helpful', 0.3376), ('vry', 0.2705)]"
Good,"[('good', 1.0)]"
Good service by. Salim margao2 team,"[('margao2', 0.573), ('salim', 0.5333), ('service', 0.4141)]"
"Customer service, specially Miral is great!","[('miral', 0.5892), ('customer', 0.3892), ('service', 0.3441)]"
Good,"[('good', 1.0)]"
All good,"[('good', 0.4393)]"
Perfection needs no improvement… Just need more stocks ,"[('stocks', 0.4606), ('improvement', 0.4467), ('perfection', 0.3865)]"
Asha was good,"[('asha', 0.7173), ('good', 0.2488)]"
Very good service ,"[('service', 0.5967), ('good', 0.3583)]"
Add more collection range to the shirts.  The jeans collection is great,"[('shirts', 0.5833), ('jeans', 0.537), ('collection', 0.422)]"
good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Collection and staff all are very good. Excellent shopping experience. Will visit again,"[('collection', 0.4171), ('staff', 0.3961), ('visit', 0.3919)]"
Good ,"[('good', 1.0)]"
Nyc,"[('nyc', 1.0)]"
Liked the product ,"[('liked', 0.577), ('product', 0.5686)]"
Good service done by dimple??,"[('service', 0.5887), ('dimple', 0.5077), ('good', 0.1915)]"
Awesome ,"[('awesome', 1.0)]"
Service is very good and all  store  are very clean ,"[('service', 0.4446), ('store', 0.4252), ('clean', 0.3025)]"
Ok,"[('ok', 1.0)]"
START BUY1 GET 1 WITH COUPON CODE ,"[('buy1', 0.6093), ('coupon', 0.5729), ('code', 0.3492)]"
Good,"[('good', 1.0)]"
Very good shamshuddin shaikh,"[('shamshuddin', 0.7155), ('shaikh', 0.6926), ('good', 0.2541)]"
All good!,"[('good', 0.3177)]"
Very good service by Aqeel.,"[('aqeel', 0.6254), ('service', 0.4605), ('good', 0.1523)]"
Service provided by Mr.Faisal was amazing ????.,"[('faisal', 0.5745), ('service', 0.4055), ('amazing', 0.1657)]"
Anil give great service ,"[('anil', 0.6678), ('service', 0.5668), ('great', 0.1781)]"
Great experience with Asha. She id very knowledgeable.,"[('asha', 0.5842), ('knowledgeable', 0.4512), ('experience', 0.349)]"
Vry good collection vry Co operative staff. Thank u,"[('staff', 0.5333), ('collection', 0.4234), ('vry', 0.3919)]"
Nice ??,"[('nice', 0.6045)]"
very nice,"[('nice', 0.6794)]"
Very good ,"[('good', 0.7071)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Thanks for the help Mr. Rakesh ji,"[('rakesh', 0.519), ('ji', 0.4242), ('help', 0.3257)]"
Satisfied with the product ,"[('satisfied', 0.7818), ('product', 0.6618)]"
Good service Satya ,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Good,"[('good', 1.0)]"
"less lycra material, please! ","[('lycra', 0.7295), ('material', 0.4316)]"
Its almost good.. the service which they are giving is the best...qassim is all sattf good .. thank u levis ,"[('qassim', 0.4191), ('service', 0.3533), ('giving', 0.2971)]"
"Mizaaj was really helpful and suggested best fits, he was very cooperative and didn't hesitate in showing various styles","[('styles', 0.4563), ('mizaaj', 0.4442), ('suggested', 0.2936)]"
Nice ,"[('nice', 1.0)]"
Nice ,"[('nice', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Excellent service by Khushi Panchal ,"[('service', 0.466), ('khushi', 0.4325), ('panchal', 0.4187)]"
Good ,"[('good', 1.0)]"
Good  ,"[('good', 1.0)]"
Bring more  variety to shirt colors,"[('colors', 0.4969), ('shirt', 0.4864), ('variety', 0.4666)]"
All good,"[('good', 0.4393)]"
All good,"[('good', 0.4393)]"
Good,"[('good', 1.0)]"
Supriya gave me excellent service. ,"[('supriya', 0.6734), ('service', 0.425), ('gave', 0.2177)]"
Price for a T-shirt should be at the most Rs. 1000,"[('price', 0.4663), ('shirt', 0.4449), ('1000', 0.3692)]"
The stylist Ms.Suhana sayyed at levis showroom margao 2 was very friendly and she politely assisted us with our clothes selection. ,"[('stylist', 0.4588), ('suhana', 0.4572), ('clothes', 0.3784)]"
Good ,"[('good', 1.0)]"
Very nice ,"[('nice', 0.6794)]"
Excellent service by Aqeel.Thanks,"[('aqeel', 0.6049), ('service', 0.3862), ('thanks', 0.2899)]"
Good,"[('good', 1.0)]"
